ID	Value
HAD1	[[গ্রেটার\N_NNP নয়ডার\N_NNP বেস্টের\N_NN সমস্যা\N_NN]]_NP [[কম\JJ]]_JJP [[হওয়ার\V_VAUX]]_VGNN [[নাম\N_NN নিচ্ছেনা\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HAD2	[[নিজেদের\PR_PRF দাবি\N_NN নিয়ে\V_VM_VNF]]_VGNF [[নির্মাণ\N_NN কার্য\N_NN]]_NP [[বন্ধ\JJ]]_JJP [[করার\V_VM_VNG জন্য\PSP]]_VGNN [[কৃষকদের\N_NN সংগঠনের\N_NN মধ্যে\PSP]]_NP [[আলোড়ন\N_NN সৃষ্টি\N_NN হয়েছে\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD3	[[রবিবার\N_NNP মায়চা\N_NNP গ্রামে\N_NN কৃষক\N_NNP সংঘর্ষ\N_NNP সমিতি\N_NNP]]_NP [[পঞ্চায়েত\N_NN করে\V_VM_VNF]]_VGNF [[২৫\QT_QTC অক্টোবর\N_NNP থেকে\PSP]]_NP [[নির্মাণ\N_NN কার্য\N_NN]]_NP [[বন্ধ\JJ]]_JJP [[করার\V_VM_VNF]]_VGNN [[সিদ্ধান্ত\N_NN নিয়েছে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HAD4	[[মজুরি\N_NN দেওয়ার\V_VM_VNG নামে\N_NN]]_VGNN [[কৃষকদের\N_NN সাথে\PSP কর্তৃপক্ষ\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[এডিএম\N_NNP এলএ\N_NNP কার্যালয়\N_NN]]_NP [[এক\QT_QTC -\RD_PUNC দুই\QT_QTC কোটি\QT_QTC টাকা\N_NN গ্রামে\N_NN]]_NP [[পাঠিয়ে\V_VM_VNF]]_VGNF [[মজা\N_NN করছে\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HAD5	[[পঞ্চায়েতে\N_NN কৃষকদের\N_NN]]_NP [[বলা\V_VM_VNG হয়েছে\V_VAUX]]_VGF [[যে\RP_RPD]]_CCP [[কর্তৃপক্ষ\N_NN কৃষকদের\N_NN সমস্যা\N_NN নিয়ে\PSP]]_NP [[চিন্তিত\JJ]]_JJP [[নয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD6	[[কর্তৃপক্ষের\N_NN দ্বারা\PSP ২৫\QT_QTC সেপ্টেম্বরের\N_NNP আলোচনায়\N_NN]]_NP [[কৃষকদের\N_NN মধ্যে\PSP ১৫\QT_QTC অক্টোবর\N_NNP পর্যন্ত\PSP]]_NP [[সমস্ত\QT_QTF গ্রামে\N_NN ক্ষতিপূরণ\N_NN বন্টন\N_NN]]_NP [[করার\V_VM_VNF]]_VGNN [[আশ্বাস\N_NN দেওয়া\V_VM_VNF হয়েছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD7	[[পঞ্চায়েতে\N_NN কৃষকরা\N_NN]]_NP [[সিদ্ধান্ত\N_NN নিয়েছে\V_VM_VF]]_VGF [[যে\DM_DMR ২৫\QT_QTC অক্টোবরে\N_NNP তিন\QT_QTC -\RD_PUNC চারটি\QT_QTC টিম\N_NN]]_NP [[তৈরি\N_NN করে\V_VM_VNF]]_VGNF [[গ্রেটার\N_NN নয়ডা\N_NNP বেস্টে\N_NN নির্মাণ\N_NN কার্য\N_NN]]_NP [[বন্ধ\JJ]]_JJP [[করানো\V_VM_VNG হবে\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD8	[[আখ\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[চীনাবাদাম\N_NNP]]_NP [[আর\CC_CCD]]_CCP [[আলু\N_NN]]_NP [[ইত্যাদি\RP_RPD ফসলের\N_NN ওপর\PSP সমস্যা\N_NN]]_NP [[হিসেবে\RB]]_RBP [[থাকা\V_VM_VNF]]_VGNN [[সাদা\N_NNP সুন্ডী\N_NNP (\RD_SYM ওয়াইট\N_NNP গ্রব\N_NNP )\RD_SYM]]_NP [[যা\PR_PRL সাদা\N_NNP লট\N_NNP]]_NP [[আর\CC_CCD]]_CCP [[সাদা\N_NNP গিলার\N_NNP নামেও\N_NN]]_NP [[জানা\V_VM_VNG যায়\V_VM_VF]]_VGF [[,\RD_PUNC]]_CCP [[তা\PR_PRL]]_NP [[এখন\RB]]_RBP [[আর\CC_CCD চিকিতসাহীন\N_NN নয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD9	[[ভারতীয়\N_NNP কৃষি\N_NNP অনুসন্ধান\N_NNP পরিষদের\N_NNP (\RD_SYM আইসিএআর\N_NNP )\RD_SYM]]_NP [[রাষ্ট্রীয়\N_NNP কৃষি\N_NNP উপযোগী\N_NNP ব্যুরোর\N_NNP বিজ্ঞানীরা\N_NN]]_NP [[এমন\DM_DMD পদ্ধতি\N_NN বার\N_NN করেছেন\V_VM_VF]]_VGF [[,\RD_PUNC]]_CCP [[যার\PR_PRL মাধ্যমে\PSP এই\DM_DMD রোগের\N_NN একশো\QT_QTC শতাংশ\N_NN]]_NP [[চিকিত্সা\N_NN করা\V_VM_VF]]_VGF [[সম্ভব\N_NN]]_NP [[।\RD_PUNC]]_BLK
HAD10	[[এর\DM_DMD মাধ্যমে\PSP মিত্র\JJ কীটের\N_NN দ্বারা\PSP]]_NP [[সাদা\JJ কীটকে\N_NN]]_NP [[শেষ\N_NN করা\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD11	[[বিজ্ঞানীরা\N_NN কৃষকদের\N_NN সুবিধার\N_NN জন্য\PSP]]_NP [[এই\DM_DMD পদ্ধতিকে\N_NN পাউডার\N_NN]]_NP [[হিসেবে\RB]]_RBP [[আরো\RP_INTF উন্নত\JJ]]_JJP [[করেছেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HAD12	[[এর\DM_DMD ফলে\PSP ক্ষেতের\N_NN শুকনো\JJ মাটি\N_NN]]_NP [[,\RD_PUNC]]_CCP [[শুকনো\JJ খাদ\N_NN]]_NP [[,\RD_PUNC]]_CCP [[শুকনো\JJ গোবরের\N_NN সাথে\PSP পাউডার\N_NN]]_NP [[মিশিয়ে\V_VM_VNF]]_VGNF [[বপন\N_NN করার\V_VM_VNF সময়ে\N_NN]]_RBP [[চারার\N_NN সাথে\PSP মাটিতে\N_NN]]_NP [[দেওয়া\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HAD13	[[মাটির\N_NN সাথে\PSP সংস্পর্শে\N_NN]]_NP [[আসার\V_VM_VNF সাথে\PSP সাথেই\PSP]]_VGNF [[পাউডার\N_NN থেকে\PSP মিত্র\N_NN কীটের\N_NN]]_NP [[জন্ম\N_NN হয়\V_VAUX]]_VGF [[আর\CC_CCD]]_CCP [[তা\PR_PRL নিজেই\PR_PRF সাদা\JJ গুটিকে\N_NN]]_NP [[খুঁজে\V_VM_VNF]]_VGNF [[নষ্ট\JJ]]_JJP [[করে\V_VM_VNF দেয়\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HAD14	[[উল্লেখযোগ্য\JJ কথা\N_NN এই\DM_DMD যে\RP_RPD]]_NP [[এই\DM_DMD মিত্র\N_NN কীট\N_NN কেচোঁদের\N_NN]]_NP [[খায়\V_VM_VF না\RP_NEG]]_VGF [[।\RD_PUNC]]_BLK
