ID	Value
HED10001	[[জে.\N_NNP কৃষ্ণমূর্তিকে\N_NNP]]_NP [[ভারতের\N_NNP মহান\JJ আধ্যাত্মিক\JJ ব্যক্তিত্ব\N_NN বলে\V_VM_VNF মনে\N_NN করা\V_VM_VNG হয়\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10002	[[একজন\QT_QTC আধ্যাত্মিক\JJ নেতা\N_NN]]_NP [[হিসেবে\RP_RPD]]_RBP [[তাঁর\PR_PRP প্রভাব\N_NN]]_NP [[দেশের\N_NN বুদ্ধিজীবিদের\N_NN ওপরও\PSP]]_NP [[যথেষ্ট\RP_INTF]]_JJP [[ছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10003	[[তাঁর\PR_PRP জন্ম\N_NN]]_NP [[১১ই\QT_QTO মার্চ\N_NNP ১৮৯৫\QT_QTC সালে\N_NN]]_NP [[অন্ধ্রপ্রদেশের\N_NNP এক\QT_QTC ছোট\JJ শহর\N_NN মদনাপল্লির\N_NNP এক\QT_QTC ধর্মপরায়ণ\JJ পরিবারে\N_NN]]_NP [[হয়েছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10004	[[তাঁর\PR_PRP পুরো\JJ নাম\N_NN]]_NP [[জিড্ডু\N_NNP]]_NP [[অথবা\CC_CCD]]_CCP [[জিদ্দু\N_NNP]]_NP [[কৃষ্ণমূর্তি\N_NNP]]_NP [[।\RD_PUNC]]_BLK
HED10005	[[কৃষ্ণমূর্তি\N_NNP]]_NP [[একজন\QT_QTC আধ্যাত্মিক\JJ লেখক\N_NN]]_VGF [[।\RD_PUNC]]_BLK
HED10006	[[শ্রীমতি\N_NN বেসন্ট\N_NNP]]_NP [[আর\CC_CCD]]_CCP [[থিওজফিক্যাল\N_NNP সোসাইটির\N_NNP সদস্যরা\N_NN]]_NP [[জে.\N_NNP কৃষ্ণমূর্তির\N_NNP মধ্যে\PSP]]_NP [[সেই\DM_DMR বিশিষ্ট\JJ লক্ষণ\N_NN]]_NP [[দেখেছেন\V_VM_VF]]_VGF [[যা\PR_PRL]]_NP [[একজন\QT_QTC বিশ্বগুরুর\N_NN মধ্যে\PSP]]_NP [[থাকে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
HED10007	[[তাই\CC_CCS]]_CCP [[শ্রীমতি\N_NN বেসন্ট\N_NNP দ্বারা\PSP]]_NP [[বয়সন্ধিকালেই\N_NN জে.\N_NNP কৃষ্ণমূর্তিকে\N_NNP কলে\N_NN নিয়ে\V_VM_VNF তার\PR_PRL লালনপালন\N_NN]]_NP [[সম্পূর্ণ\JJ]]_JJP [[ধর্মীয়\JJ]]_NP [[আর\CC_CCD]]_CCP [[আধ্যাত্মিকতার\JJ]]_NP [[সাথে\PSP যুক্ত\N_NN পরিবেশে\N_NN]]_NP [[করা\V_VM_VNG হয়\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
HED10008	[[জে.\N_NNP কৃষ্ণমূর্তির\N_NNP শিক্ষা-দিক্ষা\RD_ECH]]_NP [[ইংল্যান্ডে\N_NNP]]_NP [[হয়েছিল\V_VAUX]]_VGF [[কিন্তু\CC_CCS]]_CCP [[তাঁর\PR_PRP জীবনের\N_NN কার্যক্ষেত্র\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[ভারত\N_NNP]]_NP [[।\RD_PUNC]]_BLK
HED10009	[[জে.\N_NNP কৃষ্ণমূর্তি\N_NNP]]_NP [[নিজেকে\PR_PRF]]_NP [[কখনো\RB]]_RBP [[ধর্ম\N_NN গুরু\N_NN]]_NP [[হিসেবে\RP_RPD]]_RBP [[প্রতিষ্ঠিত\JJ করেননি\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10010	[[উনি\PR_PRP]]_NP [[আসলে\RB]]_RBP [[একজন\QT_QTC আধ্যাত্মিক\JJ ভাবাদর্শী\N_NN]]_NP [[ছিলেন\V_VAUX]]_VGF [[আর\CC_CCD]]_CCP [[ওনার\PR_PRP অনুগামীরা\N_NN]]_NP [[ওনাকে\PR_PRP]]_NP [[পথপ্রদর্শক\JJ রুপে\N_NN]]_RBP [[দেখতেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
HED10011	[[উনি\PR_PRP]]_NP [[যা\PR_PRL]]_BLK [[বলেছেন\V_VM_VF]]_VGF [[তা\PR_PRL]]_BLK [[তাঁর\PR_PRP অর্ন্তদৃষ্টির\N_NN উপলব্ধি\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
HED10012	[[দৈনিক\JJ জীবনে\N_NN]]_NP [[ধ্যানের\N_NN যথার্থ\JJ স্বরূপ\N_NN]]_NP [[,\RD_PUNC]]_BLK [[ধার্মিকতার\N_NN মাহাত্ম্যর\JJ]]_NP [[ব্যপারে\N_NN]]_NP [[বলেছেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10013	[[উনি\PR_PRP]]_NP [[বিশ্বের\N_NN সমস্ত\QT_QTF মানুষের\N_NN জীবনে\N_NN]]_NP [[এই\DM_DMD সুদূরপ্রসারী\JJ পরিবর্তনের\N_NN কথা\N_NN বলেছেন\V_VM_VF]]_VGF [[যাতে\CC_CCS]]_CCP [[মানবতার\JJ বাস্তবিক\JJ প্রগতির\N_NN দিকে\PSP]]_NP [[অগ্রসর\N_NN হওয়া\V_VM_VNG যেতে\V_VM_VINF পারে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
HED10014	[[জে.\N_NNP কৃষ্ণুমূর্তি\N_NNP]]_NP [[সবসময়\QT_QTF]]_RBP [[এই\DM_DMD ব্যাপারে\N_NN]]_NP [[জোর\N_NN দিয়েছেন\V_VM_VF]]_VGF [[যে\RP_RPD]]_CCP [[মানুষের\N_NN]]_NP [[ব্যক্তিগত\JJ]]_JJP [[এবং\CC_CCD]]_CCP [[সামাজিক\JJ]]_JJP [[চেতনা\N_NN]]_NP [[দুটো\QT_QTC আলাদা\JJ জিনিস\N_NN]]_NP [[নয়\V_VAUX]]_NEGP [[,\RD_PUNC]]_BLK [[তিনি\PR_PRL বুঝিয়েছেন\V_VM_VF]]_VGF [[“\N_NN বস্তুতেই\N_NN ব্রহ্মান্ড\N_NN ”\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10015	[[তিনি\PR_PRL বলেছেন\V_VM_VF]]_VGF [[যে\RP_RPD]]_CCP [[বাস্তবে\N_NN]]_RBP [[আমাদের\PR_PRP মধ্যে\PSP]]_NP [[সম্পূর্ণ\JJ মানব\N_NN জাতি\N_NN]]_NP [[,\RD_PUNC]]_BLK [[সম্পূর্ণ\JJ বিশ্ব\N_NN]]_NP [[বিদ্যমান\N_NN]]_NP [[।\RD_PUNC]]_BLK
HED10016	[[প্রকৃতি\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[পরিবেশের\N_NN]]_NP [[সাথে\PSP মানুষের\N_NN গভীর\JJ সম্পর্ক\N_NN]]_NP [[এবং\CC_CCD]]_CCP [[প্রকৃতি\N_NN]]_NP [[ও\CC_CCD]]_CCP [[পরিবেশের\N_NN]]_NP [[সাথে\PSP সততার\N_NN]]_NP [[কথা\N_NN]]_NP [[বলেছেন\V_VM_VF]]_VGF [[।\RD_PUNC]]_BLK
HED10017	[[এই\DM_DMD ধরনের\N_NN]]_NP [[আধ্যাত্মিকতা\JJ]]_NP [[তথা\CC_CCD]]_CCP [[মনোবৈজ্ঞানিক\JJ চাহিদাগুলিকে\N_NN]]_NP [[অস্বীকার\N_NN করা\V_VM_VNG]]_VGNN [[আর\CC_CCD]]_CCP [[যাতে\CC_CCS]]_CCP [[ওনাকেও\N_NNP]]_NP [[কেউ\PR_PRQ]]_BLK [[গুরু\N_NN]]_NP [[অথবা\CC_CCD]]_CCP [[কতৃত্বশালী\JJ]]_JJP [[না\RP_NEG বানাতে\V_VM_VINF পারে\V_VM_VF]]_VGF [[সেই\PR_PRL বিষয়ে\N_NN সতর্ক\N_NN করে\V_VM_VNF দেওয়া\V_VM_VNG]]_VGNN [[ওনার\N_NNP সতর্কবাণী\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
HED10018	[[এবং\CC_CCD]]_CCP [[জে.\N_NNP কৃষ্ণমূর্তি\N_NNP]]_NP [[স্বয়ং\PR_PRF]]_BLK [[ওনার\PR_PRP শিক্ষা\N_NN মহিমা\N_NN মন্ডিত\JJ হওয়া\V_VM_VNG]]_VGNN [[আর\CC_CCD]]_CCP [[ওনার\PR_PRP শিক্ষার\N_NN ব্যাখ্যাকে\N_NN বিকৃত\N_NN হওয়ার\V_VM_VNG]]_VGNN [[থেকে\PSP]]_BLK [[বাঁচানোর\V_VM_VNG জন্য\PSP]]_NP [[আমেরিকা\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[ভারত\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[ইংল্যান্ড\N_NNP]]_NP [[,\RD_PUNC]]_CCP [[কানাডা\N_NNP]]_NP [[আর\CC_CCD]]_CCP [[স্পেনে\N_NNP]]_NP [[সংস্থা\N_NN স্থাপন\N_NN করেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
