ID	Value 
hhd1	[[তাজা\JJ শ্বাস\N_NN]]_NP [[আর\CC_CCD]]_CCP [[ঝকঝকে\JJ দাঁত\N_NN]]_NP [[আপনার\PR_PRP ব্যক্তিত্বের\N_NN]]_NP [[পরিচয়\N_NN দেয়\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd2	[[দাঁতের\N_NN জন্য\PSP]]_NP [[আপনার\PR_PRP]]_NP [[আত্মবিশ্বাসও\N_NN বাড়ে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd3	[[আমাদের\PR_PRP মাড়ি\N_NN]]_NP [[ও\CC_CCD]]_CCP [[দাঁতের\N_NN মধ্যে\PSP]]_NP [[ব্যাক্টেরিয়া\N_NN]]_NP [[থাকে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd4	[[এরা\DM_DMD দাঁতকে\N_NN]]_NP [[অপরিষ্কার\JJ]]_JJP [[ও\CC_CCD]]_CCP [[শ্বাসকে\N_NN]]_NP [[দুর্গন্ধযুক্ত\JJ]]_JJP [[করে\V_VM_VNF দেয়\V_VM_VF]]_VGF [[৷\RD_PUNC]]_CCP
hhd5	[[এখানে\DM_DMD]]_RBP [[দেওয়া\V_VM_VNG]]_VGNN [[কিছু\QT_QTF সহজ\JJ উপায়ের\N_NN মাধ্যমে\PSP]]_NP [[আপনি\PR_PRP আপনার\PR_PRF দাঁতকে\N_NN]]_NP [[পরিষ্কার\JJ]]_JJP [[ও\CC_CCD]]_CCP [[শ্বাসকে\N_NN]]_NP [[তাজা\JJ]]_JJP [[রাখতে\V_VM_VINF পারবেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd6	[[ঠিক\RB]]_RBP [[করে\V_VM_VNF]]_VGNF [[দাঁত\N_NN]]_NP [[পরিষ্কার\N_NN করুন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd7	[[ঠিক\RB]]_RBP [[করে\V_VM_VNF]]_VGNF [[দাঁত\N_NN]]_NP [[পরিষ্কার\N_NN করতে\V_VM_VINF]]_VGINF [[দুই\QT_QTC থেকে\PSP তিন\QT_QTC মিনিট\N_NN]]_NP [[লাগে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd8	[[কিন্তু\CC_CCS]]_CCP [[বেশিরভাগ\QT_QTF লোক\N_NN]]_NP [[এর\DM_DMD জন্য\PSP]]_NP [[এক\QT_QTC মিনিটেরও\N_NN]]_NP [[কম\QT_QTF]]_RBP [[সময়\N_NN দেয়\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd9	[[প্রচুর\QT_QTF জল\N_NN]]_NP [[খান\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd10	[[মুখ\N_NN]]_NP [[শুকনো\JJ]]_JJP [[হওয়ার\V_VM_VNG পর\PSP]]_VGNN [[ব্যাক্টেরিয়া\N_NN]]_NP [[আক্রমণের\N_NN তেজ\N_NN]]_NP [[বাড়িয়ে\V_VM_VNF দেয়\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd11	[[এর\DM_DMD ফলে\PSP]]_NP [[নিশ্বাস\N_NN থেকে\PSP]]_NP [[দুর্গন্ধ\N_NN আসে\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
hhd12	[[প্রচুর\QT_QTF জল\N_NN]]_NP [[খাওয়ার\V_VM_VNG ফলে\PSP]]_VGNN [[শুধুমাত্র\RB]]_RBP [[বেঁচে\V_VM_VNF যাওয়া\V_VM_VNG]]_VGNN [[খাবারের\N_NN টুকরোই\N_NN]]_NP [[যে\PR_PRL]]_CCP [[পরিষ্কার\N_NN]]_JJP [[হয়\V_VAUX]]_VGF [[তা\PR_PRL]]_CCP [[নয়\V_VAUX]]_VGF [[,\RD_PUNC বরং\CC_CCS]]_CCP [[লালাও\N_NN]]_NP [[তৈরি\N_NN হয়\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
hhd13	[[মুখ\N_NN]]_NP [[পরিষ্কার\N_NN রাখতে\V_VM_VINF]]_VGINF [[মুখলালার\N_NN]]_NP [[যথেষ্ট\RP_INTF ভূমিকা\N_NN]]_NP [[আছে\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
