ID	Value
htd10001	[[প্রাচীন\JJ সময়\N_NN থেকেই\N_NN উড়িষ্যা\N_NN `\RD_PUNC কলিঙ্গ\N_NN `\RD_PUNC নামে\N_NN]]_NP [[পরিচিত\JJ]]_JJP [[ছিল\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
htd10002	[[খ্রীষ্ট\N_NN পূর্ব\N_NN তৃতীয়\QT_QTO শতাব্দীতে\N_NN]]_NP [[(\RD_SYM]]_BLK [[ই.পূ.\N_NN ২৬৮\QT_QTC]]_NP [[)\RD_SYM]]_BLK [[মৌর্য\N-NNP সম্রাট\N_NN অশোক\N-NNP কলিঙ্গের\N-NNP ওপর\PSP]]_NP [[জয়লাভ\N_NN করেছিলেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
htd10003	[[যুদ্ধের\N_NN সময়ে\N_NN]]_RBP [[হওয়া\V_VM_VNG]]_VGNN [[বিশাল\JJ রক্তপাত\N_NN]]_NP [[দেখে\V_VM_VNF]]_VGNF [[তিনি\PR_PRL বৌদ্ধ\N-NNP ধর্ম\N_NN]]_NP [[আপন\N_NN করে\V_VM_VNF নেওয়ার\V_VM_VNG]]_VGNN [[মনস্থির\N_NN করেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
htd10004	[[চতুর্থ\QT_QTO শতাব্দীতে\N_NN]]_NP [[এখানে\N_NST]]_RBP [[সমুদ্রগুপ্ত\N-NNP]]_NP [[,\RD_PUNC]]_BLK [[খ্রী.পূ.\N_NN ৬১০এ\QT_QTC অশোক\N-NNP]]_NP [[,\RD_PUNC]]_BLK [[সপ্তম\QT_QTO শতাব্দীতে\N_NN]]_NP [[গঙ্গা\N-NNP বংশ\N_NN তথা\RP_RPD খ্রী.পূ.\N_NN ৭৯৫এ\QT_QTC দ্বিতীয়\N_NN মহাশিব\N-NNP গুপ্ত\N-NNP যযাতি\N-NNP শাসক\N_NN]]_NP [[হন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
htd10005	[[পুরীর\N-NNP বিখ্যাত\JJ জগন্নাথ\N-NNP মন্দির\N_NN নির্মাণ\N_NN তার\PR_PRP শাসনকালেই\N_NN]]_NP [[হয়েছিল\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
htd10006	[[১৪\QT_QTC শতাব্দী\N_NN থেকে\PSP ১৫৯২\QT_QTC পর্যন্ত\PSP মুসলিম\N-NNP শাসকরা\N_NN উড়িষ্যায়\N-NNP]]_NP [[(\RD_SYM]]_BLK [[কলিঙ্গ\N-NNP]]_NP [[)\RD_SYM]]_BLK [[শাসন\N_NN করেছিলেন\V_VM_VF]]_VGF [[৷\RD_PUNC]]_BLK
htd10007	[[মোগলদের\N-NNP পতনের\N_NN পরে\PSP উড়িষ্যায়\N-NNP মারাঠাদের\N-NNP শাসন\N_NN]]_NP [[ছিল\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
htd10008	[[১৯৪৯\QT_QTC সালের\N_NN ১৯শে\QT_QTC অগস্ট\N-NNP বিভিন্ন\JJ রাজ্যকে\N_NN]]_NP [[একত্রিত\JJ]]_JJP [[করে\V_VM_VNF]]_VGNF [[উড়িষ্যাকে\N-NNP একটি\QT_QTC স্বতন্ত্র\JJ রাজ্য\N_NN]]_NP [[ঘোষিত\JJ]]_JJP [[করা\V_VM_VNG হয়\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
htd10009	[[মহানদী\N-NNP]]_NP [[,\RD_PUNC]]_BLK [[ব্রক্ষাণী\N-NNP]]_NP [[ও\CC_CCD]]_CCP [[বৈতরণী\N-NNP]]_NP [[হল\V_VAUX]]_VGF [[উড়িষ্যা\N-NNP অঞ্চলের\N_NN তিনটি\QT_QTC বিখ্যাত\JJ নদী\N_NN]]_NP [[৷\RD_PUNC]]_BLK
htd10010	[[সবথেকে\RP_INTF বিখ্যাত\JJ]]_JJP [[ও\CC_CCD]]_CCP [[বড়\JJ ঝিল\N_NN চিলকা\N-NNP লেক\N-NNP উড়িষ্যাতে\N-NNP]]_NP [[আছে\V_VAUX]]_VGF [[৷\RD_PUNC]]_BLK
