ID	Value
HAD1	[[ग्रेटर\N_NNP नोएडा\N_NNP वेस्ट\N_NNP की\PSP]]_NP [[दुश्वारियां\N_NN]]_NP [[कम\QT_QTF]]_JJP [[होने\V_VM का\PSP]]_VGINF [[नाम\N_NN]]_NP [[नहीं\RP_NEG ले\V_VM रही\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD2	[[अपनी\PR_PRF मांगों\N_NN को\PSP]]_NP [[लेकर\V_VM]]_VGF [[निर्माण\JJ कार्य\N_NN]]_NP [[बंद\V_VM कराने\V_VAUX की\PSP]]_VGINF [[किसान\N_NN]]_NP [[संगठनों\N_NN में\PSP]]_NP [[होड़\N_NN]]_NP [[मच\V_VM गई\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD3	[[रविवार\N_NN को\PSP]]_NP [[मायचा\N_NNP गांव\N_NN में\PSP]]_NP [[किसान\N_NN संघर्ष\N_NN समिति\N_NN ने\PSP]]_NP [[पंचायत\N_NN]]_NP [[कर\V_VM]]_VGF [[25\QT_QTC अक्टूबर\N_NN से\PSP]]_NP [[निर्माण\N_NN कार्य\N_NN]]_NP [[बंद\N_NN]]_JJP [[कराने\V_VM का\PSP]]_VGINF [[निर्णय\N_NN]]_NP [[लिया\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD4	[[मुआवजा\N_NN]]_NP [[देने\V_VM के\PSP]]_VGINF [[नाम\N_NN पर\PSP]]_NP [[किसानों\N_NN के\PSP साथ\PSP]]_NP [[प्राधिकरण\N_NN एवं\CC_CCD एडीएम\N_NN एलए\N_NN कार्यालय\N_NN]]_NP [[एक\QT_QTC -\RD_PUNC दो\QT_QTC करोड़\N_NN रुपये\N_NN गांवों\N_NN में\PSP]]_NP [[भेज\V_VM कर\V_VAUX]]_VGF [[मजाक\N_NN]]_NP [[कर\V_VM रहा\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD5	[[पंचायत\N_NN में\PSP]]_NP [[किसानों\N_NN ने\PSP]]_NP [[कहा\V_VM है\V_VAUX]]_VGF [[कि\CC_CCS]]_CCP [[प्राधिकरण\N_NN किसानों\N_NN की\PSP]]_NP [[समस्याओं\N_NN को\PSP]]_NP [[लेकर\N_NN]]_NP [[गंभीर\N_NN]]_JJP [[नहीं\RP_NEG है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD6	[[प्राधिकरण\N_NN द्वारा\PSP]]_NP [[25\QT_QTC सितंबर\N_NN की\PSP]]_NP [[वार्ता\N_NN में\PSP]]_NP [[किसानों\N_NN को\PSP]]_NP [[15\QT_QTC अक्टूबर\N_NN तक\PSP]]_NP [[सभी\QT_QTF गांवो\N_NN में\PSP]]_NP [[मुआवजा\N_NN]]_NP [[बांटने\V_VM का\PSP]]_VGINF [[आश्वासन\N_NN]]_NP [[दिया\V_VM गया\V_VAUX था\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD7	[[पंचायत\N_NN में\PSP]]_NP [[किसानों\N_NN ने\PSP]]_NP [[निर्णय\N_NN]]_NP [[लिया\V_VM]]_VGF [[कि\CC_CCS]]_CCP [[25\QT_QTC अक्टूबर\N_NN को\PSP]]_NP [[तीन\QT_QTC -\RD_PUNC चार\QT_QTC टीमें\N_NN]]_NP [[बनाकर\V_VM]]_VGF [[ग्रेटर\N_NNP नोएडा\N_NNP वेस्ट\N_NNP में\PSP]]_NP [[निर्माण\N_NN कार्य\N_NN]]_NP [[बंद\N_NN]]_JJP [[कराया\V_VM जाएगा\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD8	[[गन्ना\N_NN ,\RD_PUNC मूंगफली\N_NN और\CC_CCD आलू\N_NN आदि\N_NN फसलों\N_NN पर\PSP]]_NP [[कहर\N_NN]]_NP [[बनकर\V_VM]]_VGF [[टूटने\V_VM वाली\V_VAUX]]_VGF [[सफेद\N_NN]]_NP [[सुंडी\N_NN (\RD_PUNC ह्‍वाइट\N_NN ग्रब\N_NN )\N_NN]]_NP [[जिसे\PR_PRL सफेद\N_NN]]_NP [[लट\N_NN और\CC_CCD सफेद\N_NN गिलार\N_NN के\PSP]]_NP [[नाम\N_NN भी\RP_RPD]]_NP [[जाना\V_VM जाता\V_VAUX है\V_VAUX ,\RD_PUNC]]_VGF [[अब\PR_PRL]]_NP [[लाइलाज\N_NN]]_NP [[नहीं\RP_NEG रह\V_VM गई\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD9	[[भारतीय\N_NNP कृषि\N_NNP अनुसंधान\N_NNP परिषद\N_NNP (\RD_PUNC आईसीएआर\N_NNP )\N_NN के\PSP]]_NP [[राष्‍ट्रीय\N_NNP कृषि\N_NNP उपयोगी\N_NNP कीट\N_NNP ब्यूरो\N_NNP के\PSP]]_NP [[वैज्ञानिकों\N_NN ने\PSP]]_NP [[ऐसी\DM_DMR तकनीक\N_NN विकसित\N_NN]]_NP [[की\V_VM है\V_VAUX ,\RD_PUNC]]_VGF [[जिसके\PR_PRL जरिए\PSP]]_NP [[इस\DM_DMD रोग\N_NN का\PSP]]_NP [[सौ\QT_QTC फीसदी\N_NN इलाज\N_NN]]_NP [[संभव\N_NN]]_NP [[हो\V_VM सका\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD10	[[इसके\PR_PRP तहत\N_NN]]_NP [[मित्र\JJ कीटों\N_NN के\PSP जरिए\PSP]]_NP [[सफेद\JJ कीटों\N_NN का\PSP]]_NP [[खात्मा\N_NN]]_NP [[किया\V_VM जाता\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD11	[[वैज्ञानिकों\N_NN ने\PSP]]_NP [[किसानों\N_NN की\PSP]]_NP [[सुविधा\N_NN के\PSP लिए\PSP]]_NP [[इस\DM_DMD तकनीक\N_NN को\PSP]]_NP [[पाउडर\N_NN के\PSP]]_NP [[रूप\N_NN में\PSP भी\RP_RPD]]_NP [[विकसित\N_NN]]_NP [[किया\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD12	[[इसके\PR_PRP तहत\N_NN]]_NP [[खेत\N_NN की\PSP]]_NP [[सूखी\JJ मिट्‍टी\N_NN ,\RD_PUNC सूखी\JJ खाद\N_NN ,\RD_PUNC]]_NP [[सूखे\JJ गोबर\N_NN में\PSP]]_NP [[पाउडर\N_NN को\PSP]]_NP [[मिलाकर\V_VM]]_VGF [[बुवाई\N_NN के\PSP]]_NP [[समय\N_NN]]_NP [[पौधे\N_NN के\PSP साथ\PSP]]_NP [[जमीन\N_NN में\PSP]]_NP [[डाल\V_VM दिया\V_VAUX जाता\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD13	[[मिट्‍टी\N_NN के\PSP]]_NP [[संपर्क\N_NN में\PSP]]_NP [[आते\V_VM ही\RP_RPD]]_VGNF [[पाउडर\N_NN से\PSP]]_NP [[मित्र\JJ कीटों\N_NN का\PSP]]_NP [[जन्म\N_NN]]_NP [[होता\V_VM है\V_VAUX]]_VGF [[और\CC_CCD]]_CCP [[वे\PR_PRP]]_NP [[स्वतः\PR_PRF ही\RP_RPD]]_NP [[सफेद\N_NN सुंडी\N_NN को\PSP]]_NP [[ढूंढकर\V_VM]]_VGF [[नष्‍ट\N_NN]]_NP [[करते\V_VM रहते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD14	[[खास\JJ बात\N_NN]]_NP [[यह\DM_DMD]]_NP [[है\V_VM]]_VGF [[कि\CC_CCS]]_CCP [[यह\DM_DMD]]_NP [[मित्र\JJ कीट\N_NN]]_NP [[केंचुओं\N_NN को\PSP]]_NP [[नहीं\RP_NEG खाते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD15	[[इससे\DM_DMD]]_NP [[जमीन\N_NN की\PSP]]_NP [[उपजाऊ\JJ शक्‍ति\N_NN पर\PSP]]_NP [[असर\N_NN]]_NP [[नहीं\RP_NEG पड़ता\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD16	[[इससे\DM_DMR]]_NP [[न\RP_NEG सिर्फ\QT_QTF गन्ना\N_NN बल्कि\CC_CCD मूंगफली\N_NN और\CC_CCD आलू\N_NN आदि\N_NN फसलों\N_NN को\PSP भी\RP_RPD]]_NP [[बचाना\V_VM]]_VGF [[संभव\N_NN]]_NP [[हो\V_VM सकेगा\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD17	[[खराब\JJ मानसून\N_NN के\PSP चलते\RB]]_NP [[खरीफ\N_NN सीजन\N_NN में\PSP]]_NP [[धान\N_NN की\PSP]]_NP [[पैदावार\N_NN में\PSP]]_NP [[गिरावट\N_NN का\PSP]]_NP [[असर\N_NN]]_NP [[सरकारी\JJ खरीद\N_NN पर\PSP]]_NP [[दिखाई\V_VM देने\V_VAUX लगा\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD18	[[धान\N_NN खरीद\N_NN]]_NP [[शुरू\V_VM हुए\V_VAUX]]_VGF [[तीन\QT_QTC सप्ताह\N_NN]]_NP [[बीत\V_VM चुके\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD19	[[अब\N_NST तक\PSP]]_NP [[कुल\QT_QTF 65\QT_QTC लाख\N_NN टन\N_NN धान\N_NN की\PSP]]_NP [[खरीद\N_NN]]_NP [[हो\V_VM सकी\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD20	[[चालू\JJ सीजन\N_NN]]_NP [[यानी\CC_CCS]]_CCP [[अक्टूबर\N_NN से\PSP]]_NP [[अगले\N_NST साल\N_NN]]_NP [[सितंबर\N_NN तक\PSP]]_NP [[के\PSP लिए\PSP]]_NP [[2.40\QT_QTC करोड़\N_NN टन\N_NN चावल\N_NN खरीद\N_NN (\RD_PUNC 4.1\QT_QTC करोड़\N_NN टन\N_NN धान\N_NN )\RD_PUNC का\PSP]]_NP [[लक्ष्य\N_NN]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD21	[[पंजाब\N_NNP व\CC_CCD हरियाणा\N_NNP की\PSP]]_NP [[मंडियों\N_NN में\PSP]]_NP [[धान\N_NN की\PSP]]_NP [[आवक\N_NN के\PSP]]_NP [[तेज\RB]]_NP [[होने\V_VM का\PSP]]_VGINF [[समय\N_NN]]_NP [[है\V_VM ,\RD_PUNC]]_VGF [[लेकिन\CC_CCD]]_CCP [[अपेक्षित\JJ मात्रा\N_NN में\PSP]]_NP [[धान\N_NN]]_NP [[नहीं\RP_NEG पहुंच\V_VM रहा\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD22	[[पंजाब\N_NNP व\CC_CCD हरियाणा\N_NNP में\PSP]]_NP [[धान\N_NN की\PSP]]_NP [[सरकारी\JJ खरीद\N_NN]]_NP [[सबसे\RP_INTF पहले\QT_QTO]]_NP [[होती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD23	[[लेकिन\CC_CCD]]_CCP [[बीते\JJ मानसून\N_NN सीजन\N_NN में\PSP]]_NP [[दोनों\QT_QTO राज्य\N_NN]]_NP [[जबर्दस्त\JJ सूखे\N_NN की\PSP]]_NP [[चपेट\N_NN में\PSP]]_NP [[रहे\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD24	[[इसका\DM_DMD असर\N_NN]]_NP [[धान\N_NN की\PSP]]_NP [[पैदावार\N_NN पर\PSP]]_NP [[होता\V_VM दिख\V_VM रहा\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD25	[[इन\DM_DMD विपरीत\JJ स्थितियों\N_NN के\PSP]]_NP [[बावजूद\N_NN खाद्य\N_NN मंत्रालय\N_NN ने\PSP]]_NP [[खरीद\N_NN लक्ष्य\N_NN को\PSP]]_NP [[और\RP_INTF]]_JJP [[बढ़ा\V_VM दिया\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD26	[[कृषि\PR_PRP कर्ज\N_NN में\PSP]]_NP [[लगातार\RB]]_NP [[वृद्धि\V_VM पर\PSP]]_VGINF [[सरकार\N_NN]]_NP [[अपनी\PR_PRF पीठ\N_NN]]_NP [[थपथपा\V_VM रही\V_VAUX है\V_VAUX ,\RD_PUNC]]_VGF [[लेकिन\CC_CCD]]_CCP [[इसकी\DM_DMD हकीकत\N_NN]]_NP [[बेहद\RP_INTF चिंताजनक\N_NN]]_JJP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD27	[[खेती\N_NN के\PSP]]_NP [[नाम\N_NN पर\PSP]]_NP [[दिए\V_VM जाने\V_VAUX वाले\V_VAUX]]_VGF [[कर्ज\N_NN का\PSP]]_NP [[94\QT_QTC फीसद\N_NN हिस्सा\N_NN]]_NP [[सिर्फ\RP_INTF बड़ी\JJ जोत\N_NN वाले\N_NN किसानों\N_NN के\PSP]]_NP [[हिस्से\N_NN में\PSP]]_NP [[जाता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD28	[[सरकारी\JJ दावों\N_NN के\PSP]]_NP [[बावजूद\N_NN]]_NP [[छोटे\JJ व\CC_CCD सीमांत\JJ किसानों\N_NN को\PSP]]_NP [[बैंक\N_NN कर्ज\N_NN]]_NP [[देने\V_VM को\PSP]]_VGINF [[तैयार\N_NN]]_NP [[नहीं\RP_NEG है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD29	[[राष्‍ट्रीय\N_NNP नमूना\N_NP सर्वे\N_NP (\RD_SYM एनएसएस\N_NNP )\RD_SYM के\PSP]]_NP [[मुताबिक\N_NN देश\N_NN में\PSP]]_NP [[80\QT_QTC फीसद\N_NN]]_NP [[छोटे\JJ]]_JJP [[व\CC_CCD]]_CCP [[सीमांत\JJ]]_JJP [[किसान\N_NN]]_NP [[हैं\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD30	[[वित्त\N_NN मंत्रालय\N_NN के\PSP]]_NP [[इस\DM_DMD रिकॉर्ड\N_NN के\PSP]]_NP [[मुताबिक\N_NN बैंकिंग\N_NN कर्ज\N_NN में\PSP]]_NP [[इनकी\DM_DMD हिस्सेदारी\N_NN]]_NP [[महज\QT_QTF छह\QT_QTC फीसद\N_NN]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD31	[[हाल\N_NN के\PSP]]_NP [[वर्षों\N_NN में\PSP]]_NP [[बैंकों\N_NN पर\PSP]]_NP [[यह\DM_DMD दबाव\N_NN]]_NP [[बनाया\V_VM गया\V_VAUX है\V_VAUX]]_VGF [[कि\CC_CCS]]_CCP [[वे\PR_PRP]]_NP [[ज्यादा\QT_QTF से\PSP]]_NP [[ज्यादा\QT_QTF छोटे\JJ]]_JJP [[व\CC_CCD]]_CCP [[सीमांत\JJ किसानों\N_NN के\PSP]]_NP [[खाते\N_NN]]_NP [[खोलें\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD32	[[वर्ष\N_NN]]_NP [[2011-12\QT_QTC में\PSP]]_NP [[कृषि\N_NN क्षेत्र\N_NN के\PSP लिए\PSP]]_NP [[कुल\QT_QTF 6.35\QT_QTC करोड़\N_NN]]_NP [[खाते\N_NN]]_NP [[खोले\V_VM गए\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD33	[[इनमें\DM_DMD]]_NP [[62\QT_QTC फीसद\N_NN से\PSP]]_NP [[ज्यादा\QT_QTF हिस्सा\N_NN छोटे\JJ व\CC_CCD सीमांत\JJ किसानों\N_NN का\PSP]]_NP [[था\V_VM]]_VGF [[।\RD_PUNC]]_BLK 
HAD34	[[बैंकों\N_NN को\PSP]]_NP [[कुल\QT_QTF वितरित\JJ कर्ज\N_NN का\PSP]]_NP [[18\QT_QTC फीसद\N_NN कृषि\N_NN क्षेत्र\N_NN को\PSP]]_NP [[देना\V_VM होता\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
HAD35	[[भारत\N_NN]]_NP [[हमेशा\RB से\PSP]]_NP [[एक\QT_QTC कृषि\N_NN]]_NP [[प्रधान\JJ देश\N_NN]]_NP [[रहा\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK 
