ID	Value
hhd1	[[ताजा\JJ साँसें\N_NN और\CC_CCD चमचमाते\JJ दाँत\N_NN]]_NP [[आपके\PR_PRP व्यक्तित्व\N_NN को\PSP]]_NP [[निखारते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd2	[[दाँतों\N_NN से\PSP]]_NP [[आपका\PR_PRP आत्मविश्‍वास\N_NN भी\RP_RPD]]_NP [[बढ़ता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd3	[[हमारे\PR_PRP]]_NP [[मसूढ़ों\N_NN और\CC_CCD दाँतों\N_NN के\PSP बीच\N_NST]]_NP [[बैक्टीरिया\N_NN]]_NP [[मौजूद\V_VM]]_NP [[होते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd4	[[ये\DM_DMD दाँतों\N_NN को\PSP]]_NP [[गंदा\JJ]]_NP [[और\CC_CCD]]_CCP [[साँसों\N_NN को\PSP]]_NP [[बदबूदार\JJ]]_JJP [[बना\V_VM देते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd5	[[यहाँ\DM_DMD]]_NP [[दिए\V_VM]]_VGNF [[कुछ\QT_QTF आसान\JJ नुस्खों\N_NN की\PSP]]_NP [[मदद\N_NN से\PSP]]_NP [[आप\PR_PRP अपने\PR_PRF दाँतों\N_NN को\PSP]]_NP [[स्वच्छ\JJ]]_NP [[और\CC_CCD]]_CCP [[साँसों\N_NN को\PSP]]_NP [[ताजा\JJ]]_NP [[रख\V_VM सकते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd6	[[दाँतों\N_NN को\PSP]]_NP [[ठीक\JJ से\PSP]]_NP [[साफ\V_VM]]_NP [[करें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd7	[[दाँतों\N_NN को\PSP]]_NP [[ठीक\JJ से\PSP]]_NP [[साफ\V_VM]]_NP [[करने\V_VAUX में\PSP]]_VGNF [[दो\QT_QTC से\PSP]]_NP [[तीन\QT_QTC मिनट\N_NN का\PSP]]_NP [[समय\N_NN]]_NP [[लगता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd8	[[लेकिन\CC_CCS]]_CCP [[ज्यादातर\QT_QTF लोग\N_NN]]_NP [[इसके\PR_PRP लिए\PSP]]_NP [[एक\QT_QTC मिनट\N_NN से\PSP भी\RP_RPD]]_NP [[कम\QT_QTF समय\N_NN]]_NP [[देते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd9	[[खूब\QT_QTF पानी\N_NN]]_NP [[पीएँ\V_VM]]_VGNF [[।\RD_PUNC]]_BLK
hhd10	[[मुँह\N_NN]]_NP [[सूखने\V_VM पर\PSP]]_VGNF [[बैक्टीरिया\N_NN]]_NP [[हमला\N_NN]]_NP [[तेज\RB]]_RBP [[कर\V_VM देते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd11	[[इससे\PR_PRP]]_NP [[साँसों\N_NN से\PSP]]_NP [[बदबू\N_NN]]_NP [[आने\V_VM लगती\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd12	[[खूब\QT_QTF पानी\N_NN]]_NP [[पीने\V_VM से\PSP]]_VGNF [[न\RP_NEG केवल\QT_QTF]]_CCP [[खाने\V_VM के\PSP]]_NP [[बचे\V_VM -\RD_PUNC खुचे\RD_ECH टुकड़े\N_NN]]_NP [[साफ\V_VM]]_NP [[हो\V_VAUX जाते\V_VAUX हैं\V_VAUX ,\RD_PUNC]]_VGF [[बल्कि\CC_CCD]]_CCP [[लार\N_NN भी\RP_RPD]]_NP [[बनती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd13	[[मुँह\N_NN साफ\RB]]_NP [[रखने\V_VM में\PSP]]_VGNF [[लार\N_NN की\PSP]]_NP [[खास\JJ भूमिका\N_NN]]_NP [[होती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd14	[[लार\N_NN]]_NP [[उन\PR_PRP बैक्टीरिया\N_NN को\PSP]]_NP [[नष्ट\V_VM]]_NP [[करती\V_VAUX है\V_VAUX]]_VGF [[जो\PR_PRP साँसों\N_NN में\PSP]]_NP [[बदबू\N_NN]]_NP [[पैदा\V_VM करते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd15	[[चबाएँ\V_VM]]_VGNF [[शुगर\N_NN रहित\N_NN चुइंगगम\N_NN]]_NP [[।\RD_PUNC]]_BLK
hhd16	[[चुइंगगम\N_NN]]_NP [[चबाने\V_VM से\PSP]]_VGNF [[लार\N_NN]]_NP [[बनती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd17	[[चुइंगगम\N_NN से\PSP]]_NP [[दाँतों\N_NN को\PSP]]_NP [[साफ\V_VM]]_NP [[रखने\V_VAUX में\PSP]]_VGNF [[मदद\N_NN]]_NP [[मिलती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd18	[[शुगर\N_NN युक्त\JJ गम\N_NN को\PSP]]_NP [[सेहत\N_NN के\PSP लिए\PSP]]_NP [[अच्छा\JJ]]_JJP [[नहीं\RP_NEG माना\V_VM जाता\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd19	[[इसलिए\RB डेंटिस्ट\N_NN]]_NP [[शुगर\N_NN युक्त\JJ गम\N_NN को\PSP]]_NP [[खाने\V_VM की\PSP]]_VGNF [[सलाह\N_NN]]_NP [[नहीं\RP_NEG देते\V_VM]]_VGF [[।\RD_PUNC]]_BLK
hhd20	[[नियमित\JJ रूप\N_NN से\PSP]]_NP [[कराएँ\V_VM]]_VGNF [[दाँतों\N_NN की\PSP]]_NP [[जाँच\N_NN]]_NP [[।\RD_PUNC]]_BLK
hhd21	[[दंतचिकित्सक\N_NN से\PSP]]_NP [[दाँतों\N_NN की\PSP]]_NP [[जाँच\N_NN]]_NP [[नियमित\JJ रूप\N_NN से\PSP]]_NP [[कराएँ\V_VM]]_VGF [[।\RD_PUNC]]_BLK
hhd22	[[वे\PR_PRP दाँतों\N_NN की\PSP]]_NP [[छोटी\JJ -\RD_PUNC मोटी\JJ समस्या\N_NN को\PSP]]_NP [[आसानी\JJ से\PSP]]_NP [[सुलझा\V_VM देते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd23	[[खाने\V_VM के\PSP बाद\N_NN]]_VGNF [[मुँह\N_NN साफ\V_VM]]_NP [[करें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd24	[[हर\QT_QTF बार\RB]]_NP [[खाने\V_VM के\PSP बाद\N_NST]]_VGNF [[पानी\N_NN से\PSP]]_NP [[मुँह\N_NN]]_NP [[जरूर\RB साफ\V_VM]]_NP [[करें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd25	[[इससे\PR_PRL]]_NP [[खाने\N_NN के\PSP]]_NP [[बचे\V_VM हुए\V_VAUX]]_VGNF [[टुकड़े\N_NN]]_NP [[साफ\V_VM]]_NP [[हो\V_VAUX जाते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd26	[[नींबू\N_NN और\CC_CCD नमक\N_NN के\PSP]]_NP [[मिश्रण\N_NN से\PSP]]_NP [[दाँत\N_NN]]_NP [[साफ\V_VM]]_NP [[करें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd27	[[एक\QT_QTC चम्मच\N_NN में\PSP]]_NP [[नमक\N_NN]]_NP [[लेकर\V_VM]]_VGNF [[उसमें\PR_PRP]]_NP [[तीन\QT_QTC से\PSP चार\QT_QTC बूंदें\N_NN]]_NP [[नींबू\N_NN की\PSP]]_NP [[डाल\V_VM लें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd28	[[हर\QT_QTF हफ्ते\N_NN]]_NP [[इस\DM_DMD मिश्रण\N_NN से\PSP]]_NP [[दाँतों\N_NN को\PSP]]_NP [[साफ\V_VM]]_NP [[करें\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd29	[[इससे\DM_DMD]]_NP [[न\RP_NEG केवल\QT_QTF]]_CCP [[दाँत\N_NN चमचमाने\JJ]]_NP [[लगते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd30	[[बल्कि\CC_CCD]]_CCP [[साँसों\N_NN की\PSP]]_NP [[दुर्गंध\JJ से\PSP भी\RP_RPD]]_NP [[छुटकारा\N_NN]]_NP [[मिलता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd31	[[सेहत\N_NN]]_NP [[है\V_VM तो\RP_RPD]]_VGF [[सब\QT_QTF]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK
hhd32	[[आज\N_NST की\PSP]]_NP [[व्यस्त\JJ जिंदगी\N_NN में\PSP]]_NP [[खुद\PR_PRF को\PSP]]_NP [[स्वस्थ\N_NN]]_NP [[रखना\V_VM]]_VGNF [[किसी\DM_DMI चुनौती\N_NN से\PSP]]_NP [[कम\QT_QTF नहीं\RP_NEG]]_JJP [[।\RD_PUNC]]_BLK
hhd33	[[लेकिन\CC_CCS]]_CCP [[खान-पान\RD_ECH पर\PSP]]_NP [[ध्यान\N_NN]]_NP [[और\CC_CCD]]_CCP [[जीवनशैली\N_NN में\PSP]]_NP [[थोड़ा\QT_QTF बदलाव\N_NN]]_NP [[लाकर\V_VM]]_VGNF [[आप\PR_PRP खुद\PR_PRF को\PSP]]_NP [[स्वस्थ\JJ]]_NP [[रख\V_VM सकते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd34	[[कम\QT_QTF वसायुक्त\JJ आहार\N_NN का\PSP]]_NP [[करें\V_VAUX]]_VGF [[सेवन\V_VM]]_NP [[।\RD_PUNC]]_BLK
hhd35	[[खाना\N_NN]]_NP [[वही\PR_PRP खाएँ\V_VM]]_VGNF [[जिसमें\PR_PRL]]_NP [[कम\QT_QTF वसा\N_NN और\CC_CCD फाइबर\N_NN ज्यादा\QT_QTF]]_NP [[हो\V_VM]]_VGF [[।\RD_PUNC]]_BLK
hhd36	[[फलों\N_NN और\CC_CCD सब्जियों\N_NN में\PSP]]_NP [[ऐसा\DM_DMD ही\RP_RPD अनुपात\N_NN]]_NP [[रहता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
hhd37	[[कम\QT_QTF वसा\N_NN और\CC_CCD फाइबर\N_NN वाले\PSP]]_NP [[खाने\N_NN से\PSP]]_NP [[वजन\N_NN]]_NP [[नियंत्रित\JJ]]_NP [[करने\V_VM में\PSP]]_VGNF [[मदद\N_NN]]_NP [[मिलती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
