ID	Value
htd1	[[सप्तपुरियों\N_NN के\PSP]]_NP [[दर्शन\N_NN से\PSP]]_NP [[मिलता\V_VM है\V_VAUX]]_VGF [[मोक्ष\N_NN]]_NP [[!\RD_PUNC]]_BLK
htd2	[[हिंदू\N_NNP धर्म\N_NN में\PSP]]_NP [[तीर्थ\N_NN का\PSP]]_NP [[बड़ा\RP_INTF महत्व\N_NN]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK
htd3	[[यूँ\RP_RPD तो\RP_RPD हर\QT_QTF तीर्थ\N_NN]]_NP [[बड़ा\JJ]]_JJP [[और\CC_CCD]]_CCP [[अहम\JJ]]_JJP [[है\V_VM]]_VGF [[,\RD_PUNC लेकिन\CC_CCS]]_CCP [[सात\QT_QTC स्थानों\N_NN की\PSP]]_NP [[बड़ी\JJ महत्ता\N_NN]]_NP [[और\CC_CCD]]_CCP [[मान्यता\N_NN]]_NP [[है\V_VM]]_VGF [[।\RD_PUNC]]_BLK
htd4	[[ये\DM_DMD सातों\QT_QTC धर्मस्थल\N_NN]]_NP [[सात\QT_QTC नगरों\N_NN]]_NP [[या\RP_RPD]]_CCP [[सप्तपुरियों\N_NNP के\PSP]]_NP [[रूप\N_NN में\PSP]]_NP [[ग्रंथों\N_NN में\PSP]]_NP [[वर्णित\V_VM]]_NP [[हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd5	[[ऐसा\DM_DMD]]_NP [[कहा\V_VM गया\V_VAUX है\V_VAUX]]_VGF [[कि\CC_CCS]]_CCP [[चतुर्मास\N_NN में\PSP]]_NP [[इन\PR_PRP सप्तपुरियों\N_NN का\PSP]]_NP [[दर्शन\N_NN]]_NP [[मोक्ष\N_NN प्रदान\N_NN]]_NP [[करने\V_VM वाला\PSP]]_VGNN [[होता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd6	[[इसका\DM_DMD नाम\N_NN बनारस\N_NNP]]_NP [[या\RP_RPD]]_CCP [[वाराणसी\N_NNP भी\RP_RPD]]_NP [[है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd7	[[गंगा\N_NNP किनारे\N_NST]]_NP [[यह\N_NN भगवान\N_NN शंकर\N_NNP की\PSP]]_NP [[प्रसिद्ध\JJ पुरी\N_NN]]_NP [[है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd8	[[मुगल\N_NNP सराय\N_NNP से\PSP]]_NP [[अमृतसर\N_NNP]]_NP [[तथा\CC_CCD]]_CCP [[देहरादून\N_NNP]]_NP [[जाने\V_VM वाली\PSP]]_VGNN [[मुख्य\N_NN रेलवे\N_NN लाइन\N_NN पर\PSP]]_NP [[मुगल\N_NNP सराय\N_NNP स्टेशन\N_NN से\PSP]]_NP [[7\QT_QTC मील\N_NN पर\PSP]]_NP [[काशी\N_NNP]]_NP [[और\CC_CCD]]_CCP [[उससे\PR_PRP 4\QT_QTC मील\N_NN आगे\N_NST]]_NP [[बनारस\N_NNP छावनी\N_NN स्टेशन\N_NN]]_NP [[है\V_VAUX]]_VGF [[।RD_PUNC\N_NN]]_BLK
htd9	[[इलाहाबाद\N_NNP के\PSP]]_NP [[प्रयाग\N_NNP स्टेशन\N_NN से\PSP भी\RP_RPD]]_NP [[एक\QT_QTC सीधी\JJ लाइन\N_NN]]_NP [[काशी\N_NNP]]_NP [[होते\V_VM हुए\V_VAUX]]_VGNF [[बनारस\N_NNP छावनी\N_NN तक\PSP]]_NP [[जाती\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd10	[[पूर्वोत्तर\N_NST रेलवे\N_NN की\PSP]]_NP [[एक\QT_QTC लाइन\N_NN]]_NP [[भटनी\N_NNP से\PSP]]_NP [[तथा\CC_CCD]]_CCP [[दूसरी\QT_QTO छपरा\N_NNP से\PSP]]_NP [[इलाहाबाद\N_NNP सिटी\N_NN तक\PSP]]_NP [[जाती\V_VM है\V_VAUX]]_VGF [[।RD_PUNC\N_NN]]_BLK
htd11	[[इस\DM_DMD रास्ते\N_NN से\PSP भी\RP_RPD]]_NP [[बनारस\N_NNP सिटी\N_NN]]_NP [[होते\V_VM हुए\V_VAUX]]_VGNF [[छावनी\N_NN]]_NP [[जा\V_VM सकते\V_VAUX हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd12	[[पतित\JJ पावनी\JJ गंगा\N_NN]]_NP [[हरिद्वार\N_NNP में\PSP]]_NP [[पर्वतीय\JJ क्षेत्र\N_NN को\PSP]]_NP [[छोड़कर\V_VM]]_VGNF [[समतल\JJ भूमि\N_NN में\PSP]]_NP [[प्रवेश\V_VM]]_NP [[करती\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd13	[[इसलिए\RB हरिद्वार\N_NNP को\PSP]]_NP [[गंगा\N_NNP द्वार\N_NN भी\RP_RPD]]_NP [[कहते\V_VM हैं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd14	[[हरिद्वार\N_NNP में\PSP]]_NP [[प्रतिदिन\QT_QTF शाम\N_NN को\PSP]]_NP [[होने\V_VM वाली\PSP]]_VGNN [[माँ\N_NN गंगा\N_NNP की\PSP]]_NP [[आरती\N_NN के\PSP]]_NP [[समय\N_NN श्रद्धालुओं\N_NN की\PSP]]_NP [[भीड़\N_NN]]_NP [[उमड़\V_VM पड़ती\V_VAUX है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd15	[[गंगा\N_NNP नदी\N_NN पर\PSP]]_NP [[तैरती\V_VM]]_VGF [[दीपमालाओं\N_NN का\PSP]]_NP [[दृश्य\N_NN]]_NP [[देखते\V_VM ही\RP_RPD]]_VGF [[बनता\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd16	[[उत्तर\N_NST रेलवे\N_NN की\PSP]]_NP [[मुगल\N_NNP सराय\N_NNP से\CC_CCS]]_NP [[अमृतसर\N_NNP]]_NP [[जाने\N_NN वाली\PSP]]_VGNN [[मुख्य\JJ लाइन\N_NN पर\PSP]]_NP [[स्टेशन\N_NN]]_NP [[है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd17	[[लक्सर\N_NNP से\PSP]]_NP [[एक\QT_QTC लाइन\N_NN]]_NP [[हरिद्वार\N_NNP तक\PSP]]_NP [[गई\V_VM है\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd18	[[प्राचीन\JJ काल\N_NN में\PSP]]_NP [[पितामह\N_NN ब्रह्माN_NN जी\ ने\PSP]]_NP [[कांची\N_NNP में\PSP]]_NP [[माँ\N_NN भगवती\N_NNP के\PSP]]_NP [[दर्शन\N_NNP के\PSP लिए\PSP]]_NP [[दुष्कर\JJ तपस्या\N_NN]]_NP [[की\V_VM थी\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
htd19	[[तब\N_NST महालक्ष्मी\N_NNP]]_NP [[हाथ\N_NN में\PSP]]_NP [[कमल\N_NN धारण\N_NN]]_NP [[किए\V_VM हुए\V_VAUX]]_VGNF [[उनके\PR_PRP सामने\N_NST]]_NP [[प्रकट\N_NN]]_JJP [[हुई\V_VM थीं\V_VAUX]]_VGF [[।\RD_PUNC]]_BLK
